textId,themeId,themeName,eventId,eventTitle,category,speaker,difficulty,isPool,poolIndex,text,feedback,time,budget,satisfaction,risk,compositeScore,tags,tone,setsFlags,requiresFlags
T0001,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,FALSE,,坚持追要原始数据,你花了大量时间协调各部门，终于拿到了一手数据。,-2,-1,-1,-2,-6,time_heavy;risk_reducer,formal,,
T0002,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,温和跟进，先要部分数据,你发了邮件温和地请求数据，对方说这两天给。,-1,-1,1,-1,-2,neutral,professional,,
T0004,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,召开数据对接短会,半小时短会锁定数据缺口，各部门承诺明天前补齐。,-1,-1,1,-1,-2,neutral,professional,,
T0005,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,施压要求立刻提供,连打三个电话施压，数据拿到了但关系紧张。,-2,-1,-2,-3,-8,time_heavy;satisfaction_hit;risk_reducer,formal,,
T0006,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,先用行业数据，争取缓冲时间,你用行业基准数据先顶上，客户满意，给了你三天宽限。,0,-1,1,1,1,neutral,safe,,
T0007,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,FALSE,,用定性表述先顶上,客户对文案很满意，但合规陈老师皱眉了。,-1,-1,1,2,1,risk_taker,risky,data_missing,
T0008,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,用定性表述填补,客户对文案很满意，但合规陈老师皱眉了。,-1,-1,1,2,1,risk_taker,risky,,
T0009,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,精简措辞，只写确定的部分,你保守地只写了有把握的内容。报告虽然短，但没有漏洞。,0,1,-1,1,1,budget_gain,safe,,
T0010,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,套用上季度模板,模板很方便，但数据完全不匹配。没人发现——暂时。,1,1,-1,3,4,time_save;budget_gain;risk_taker,risky,,
T0011,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,让实习生先起草,实习生写得不错，你稍微润色就发了。不过署名是你的。,0,1,1,2,4,budget_gain;risk_taker,risky,,
T0012,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,请合规同事先预审,陈老师圈了七处问题。改完再发，心里踏实多了。,-1,-1,-1,-1,-4,neutral,professional,,
T0013,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,FALSE,,参考行业数据并标注测算口径,折中方案，参考了竞品披露口径并加了脚注说明。,-1,-1,1,1,0,neutral,professional,,
T0015,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,直接引用行业协会报告,引用权威来源，客户挑不出毛病——除非他们细看日期。,0,1,1,2,4,budget_gain;risk_taker,risky,,
T0016,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,委托第三方快速出报告,外包团队效率惊人。贵是贵了点，但客户非常满意。,0,-2,2,1,1,budget_drain;satisfaction_boost,professional,,
T0017,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,标注初步数据，最终版待更新,你加了一行免责声明。合规过了，客户也没说什么。,0,1,-1,1,1,budget_gain,safe,,
T0018,annual_report,年报披露倒计时,E001,碳减排数据缺口,risk_compliance,zhang_zong,3,TRUE,,亲自动手做数据测算,你在Excel里泡了一下午，出来的数据经得起推敲。,-2,-1,1,-2,-4,time_heavy;risk_reducer,formal,,
T0019,event_day,活动签到当天,E002,嘉宾未收到签到码,time_pressure,gongying_wang,2,FALSE,,现场人工核验名单,增派两人手动核对名单，虽然慢但稳妥。,-2,-1,1,-1,-3,time_heavy,professional,,
T0020,event_day,活动签到当天,E002,嘉宾未收到签到码,time_pressure,gongying_wang,2,FALSE,,重新生成专属二维码,技术阿哲火速生成新码，嘉宾顺利签到。,-1,-1,1,-1,-2,neutral,professional,qr_verified,
T0021,event_day,活动签到当天,E002,嘉宾未收到签到码,time_pressure,gongying_wang,2,FALSE,,先直接进场，稍后补登,流程上走了捷径，但会后名单对不上会很麻烦。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,qr_unverified,
T0022,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,FALSE,,邮件二次确认,发了一封措辞严谨的确认邮件，有据可查。,-1,-1,1,-2,-3,risk_reducer,formal,,
T0023,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,邮件二次确认，留下书面记录,你发了措辞考究的确认邮件。现在有据可查了。,-1,-1,1,-2,-3,risk_reducer,formal,,
T0024,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,发一封简短确认邮件,三行字的邮件。对方回了确认。不正式，但够用。,0,1,1,-1,1,budget_gain,safe,,
T0025,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,附上会议纪要和下一步计划,详细的会议纪要加时间线。不光确认了，还显得很专业。,-2,-1,1,-2,-4,time_heavy;risk_reducer,formal,,
